sku_id,container,reprocess
1000016236139-White-OffWhite,in-media-ea,
1000011558444-White-White,in-media,
1000011558444-White-OffWhite,in-media-uk,
1000015611154-Beige-Beige,in-media,
1000015664739-Brown-Brown,in-media,
1000016285053-White-OffWhite,in-media,
1000016236160-Grey-Grey,in-media-ea,
1000016236097-Blue-Navy,in-media-ea,
1000016236076-Blue-Navy,in-media-ea,
1000013612309-White-OffWhite,in-media,
1000016285042-Green-Green,in-media-ea,
1000016236076-Yellow-Yellow,in-media-ea,
1000015664739-White-White,in-media,
1000015567027-Beige-Beige,in-media-ea,
1000014705059-Red-Wine,in-media,
1000016236181-Green-Green,in-media,
1000016236097-Beige-Beige,in-media-ea,
1000015567027-Blue-Blue,in-media-ea,
1000014705560-White-Ecru,in-media,
1000015664760-White-White,in-media-ea,
1000016236139-Brown-Brown,in-media-ea,
1000014705101-Yellow-Yellow,in-media,
1000014705143-White-OffWhite,in-media,
1000016236181-Beige-Beige,in-media,
1000015664697-Red-Rust,in-media,
1000015566785-Green-Green,in-media,
1000016285074-Green-LightGreen,in-media-ea,
1000014705101-Pink-Pink,in-media,
1000014705206-White-OffWhite,in-media,
1000014705311-Yellow-Yellow,in-media,
1000014705538-Beige-Cream,in-media,
1000014705185-Black-Black,in-media,
1000015062369-White-OffWhite,in-media,
1000015611229-Blue-Blue,in-media,
1000014705269-Beige-Beige,in-media,
1000015664655-Blue-Blue,in-media,
1000015611229-Pink-DarkPink,in-media,
1000015664718-Green-Green,in-media,
1000014722388-White-Ecru,in-media,
1000014705354-Blue-Navy,in-media,
1000015664697-Green-Green,in-media,
1000015664676-Yellow-Mustard,in-media,
1000015611133-White-OffWhite,in-media,
1000014705560-Black-Black,in-media,
1000015566849-Blue-Blue,in-media,
1000014705143-Blue-Blue,in-media,
1000015567006-White-White,in-media,
1000015566975-Black-Black,in-media,
1000014705386-Red-Wine,in-media,
1000013612309-Yellow-GldYellow,in-media,
1000015664676-Blue-Blue,in-media,
1000014705386-Grey-LightGrey,in-media,
1000015566849-White-White,in-media,
1000015566828-Green-LightGreen,in-media,
1000015566975-Red-Red,in-media,
1000015611133-Green-Green,in-media,
1000015566753-White-OffWhite,in-media,
1000015611208-White-OffWhite,in-media,
1000014705354-White-OffWhite,in-media,
1000016285021-Red-Rust,in-media-ea,
1000016285021-White-OffWhite,in-media-ea,
1000016285053-Blue-Navy,in-media,
1000013938609-Yellow-Yellow,in-media,
1000015664940-Green-Green,in-media,
1000016252949-Black-Black,in-media,
1000014705581-Grey-Grey,in-media,
1000014705549-Black-Black,in-media,
1000015566870-Yellow-Yellow,in-media,
1000016236160-Brown-Brown,in-media-ea,
1000016236065-White-White,in-media-ea,
1000015566764-Beige-Beige,in-media,
1000014705375-White-OffWhite,in-media,
1000015566912-White-White,in-media,
1000014705206-Purple-Purple,in-media,
1000015566796-Pink-Pink,in-media,
1000014705227-Beige-Beige,in-media,
1000014705227-Pink-Pink,in-media,
1000015611165-Black-Black,in-media,
1000015567006-Yellow-Yellow,in-media,
1000015566753-Green-Green,in-media,
1000015611176-Black-Black,in-media,
1000014606700-Beige-Cream,in-media,
1000015611208-Brown-Brown,in-media,
1000015566912-Brown-Brown,in-media,
1000014705122-Green-DarkGreen,in-media,
1000014705164-Beige-Beige,in-media,
1000014705164-Blue-Navy,in-media,
1000014705300-Grey-Grey,in-media,
1000015664655-White-White,in-media,
1000015611187-Green-Green,in-media,
1000008353311-White-White,in-media-uk,
1000015566807-White-White,in-media,
1000014606700-Red-Wine,in-media,
1000015566954-Pink-Pink,in-media,
1000014722209-Grey-LightGrey,in-media,
1000014705269-Purple-LitPurple,in-media,
1000014722209-Green-Green,in-media,
1000015664760-Red-Rust,in-media-ea,
1000014705059-White-White,in-media,
1000014705248-White-White,in-media,
1000014705269-Green-LightGreen,in-media,
1000014705248-Green-LightGreen,in-media,
1000014705185-Pink-LightPink,in-media,
1000013938609-Green-DarkGreen,in-media,
1000014705311-Blue-Navy,in-media,
1000015566901-White-OffWhite,in-media,
1000015664718-Yellow-Yellow,in-media,
1000015062369-Black-Black,in-media,
1000011469145-Green-Green,in-media-uk,
1000015566975-White-OffWhite,in-media,
1000011469197-Beige-Cream,in-media-uk,
1000011717800-Yellow-Yellow,,
1000015566933-Brown-Brown,in-media,
1000015566933-Blue-Blue,in-media,
1000015566870-Pink-Pink,in-media,
1000015566954-White-White,in-media,
1000015566870-White-White,in-media,
1000015566828-Black-Black,in-media,
1000014705122-Blue-Navy,in-media,
1000016252949-White-OffWhite,in-media-ea,
1000011558444-Black-Black,in-media-uk,
1000012133232-Green-Green,in-media-uk,
1000011469156-Red-Red,in-media-uk,
1000010813690-Yellow-Yellow,in-media-uk,
1000014722325-Red-Wine,in-media,
1000008345308-Var8-Red-Wine,in-media-uk,
1000014722367-White-OffWhite,in-media,
1000011724261-Beige-Beige,,
1000013938473-Purple-Purple,in-media,
1000014683661-Green-LightGreen,in-media,
1000010813684-White-White,,
1000008345343-Beige-CREAM,in-media-uk,
1000014722283-Pink-Pink,in-media,
1000014220235-Yellow-Yellow,in-media,
1000003227505-White-White,in-media,
1000011558444-Beige-Beige,in-media-uk,
1000014606617-Blue-Blue,in-media,
1000014220276-Black-Black,in-media,
1000015611187-Blue-Blue,in-media,
